id,name,rating,about,address,price_range,cuisines,features,preferences,sunday_hours,monday_hours,tuesday_hours,wednesday_hours,thursday_hours,friday_hours,saturday_hours,img1_url,img2_url,img3_url
0,Gili Teak Resort Restaurant,4.8,"We offer a stunning beach front location with amzing views over Mt Agung Bali. Come and enjoy good food in a beautiful location. We offer Breakfast, Lunch and Dinner that can be enjoyed in our Restaurant, around the Pool or on the Beach overlooking the sea.","Jalan Pantai Gili Trawangan, Pemenang, West Nusa Tenggara 83352 Indonesia",$$ - $$$,"['International', 'Asian']","['Vegetarian friendly, Vegan options, Gluten free options', 'Breakfast, Lunch, Dinner, Brunch, Drinks']","['fajitas', 'beef rendang', 'nasi goreng', 'prawns', 'coconut chicken', 'pizza', 'cobb salad', 'great food', 'gili t', 'watch the sunset', 'sunset view', 'amazing spot', 'great dinner', 'beautiful place', 'nice sunset', 'dinner on the beach', 'sunset drinks', 'beach side', 'island', 'rodi']",7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/18/a5/7e/tacos.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/d7/6a/7c/caption.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/98/16/ec/caption.jpg?w=900&h=500&s=1
1,Lazy Coconut,4.9,A relaxing Beach bar and restaurant located in the north of Gili T with the most amazing sunsets on the island.,"Jl. Pantai Gili Trawangan, Pemenang, West Nusa Tenggara 83352 Indonesia",$,['Seafood'],"['Vegetarian friendly, Vegan optionsAccepts Credit CardsLunch, Dinner', 'Vegetarian friendly, Vegan options', 'Lunch, Dinner']","['tacos', 'burger', 'watching the sunset', 'ate here', 'gili t', 'beach', 'beers', 'island', 'dish']",1:00 PM - 9:30 PM,1:00 PM - 9:30 PM,1:00 PM - 9:30 PM,1:00 PM - 9:30 PM,1:00 PM - 9:30 PM,1:00 PM - 9:30 PM,1:00 PM - 9:30 PM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/2d/bd/f3/best-sunset-in-gili-t.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/73/40/76/great-food.jpg?w=900&h=500&s=1,
2,Warung Sunny,4.6,Do you want to learn how to cook real Indonesian food. Just give me a call or text message. Only small private groups.,"Jalan yoda, Gili Indah, Pemenang, West Nusa Tenggara 83352 Indonesia",$,"['Asian', 'Healthy']","['Vegetarian friendly, Vegan options, Gluten free options', 'Lunch, Dinner', 'Delivery, Table Service, Takeout']","['burrito', 'rice', 'cooking class', 'indonesian food', 'amazing food', 'great local food', 'hero', 'island', 'warung', 'uncle', 'villa']",10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/32/12/85/photo0jpg.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/9e/7f/5e/caption.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/34/0e/34/caption.jpg?w=900&h=500&s=1
3,El Bazar Cafe & Restaurant,4.7,"El Bazar Cafe is a new concept in Kuta Lombok that is striving to inspire its customers to eat healthy. We are serving Authentic Mediterranean cuisine in the hear of Kuta Lombok. Come enjoy the best coffee in town and our rustic breakfast all day long. By day we serve delicious international Cafe food that is healthy, generous and plentiful. By night expect superb rich dishes, our seafood is served table side. An easy dining in a charming atmosphere. We also offer quick delivery service all around Kuta free of charge. Welcome to El Bazar Cafe & Restaurant Lombok.","Jl. Raya Kuta 5, Kuta, Lombok 83573 Indonesia",$$ - $$$,"['International', 'Mediterranean', 'Fast Food Restaurants in Kuta', 'Campania Restaurants in Kuta', 'Healthy Restaurants in Kuta', 'Cafes for Families in Kuta']","['Vegan options, Halal, Gluten free optionsLunch, Dinner, DrinksFamily style, Table Service, Takeout', 'Vegan options, Halal, Gluten free options', 'Lunch, Dinner, Drinks', 'Family style, Table Service, Takeout']","['prawns', 'bread', 'delicious food', 'nice atmosphere', 'lombok', 'vibe']",5:00 PM - 11:00 PM,5:00 PM - 11:00 PM,5:00 PM - 11:00 PM,5:00 PM - 11:00 PM,5:00 PM - 11:00 PM,5:00 PM - 11:00 PM,5:00 PM - 11:00 PM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/c0/d7/55/enjoy-a-cocktail-at-our.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/68/2e/39/photo2jpg.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/d5/13/eb/sampler.jpg?w=900&h=500&s=1
4,Pearl Beach Lounge,4.4,We have re-opened our restaurant after renovations and are currently in the process of getting new professional photographs taken. Sit with your feet in the sand and gaze over the Gili Trawangan's pristine azure waters and onto Lombok's Majestic Mount Rinjani. Kick back and enjoy tapas and a cocktail whilst you bask in the warmth of the tropical sun or enjoy dinner with wine under a star filled sky on our restaurant terrace.,"Jl. Gili Trawangan, Pemenang, West Nusa Tenggara 83355 Indonesia",$$ - $$$,"['Seafood', 'International']","['Vegetarian friendly, Vegan options, Gluten free options', 'Accepts credit cards: Mastercard, Visa', 'Breakfast, Lunch, Dinner, Brunch, Drinks']","['pad thai', 'sandwich', 'gili t', 'the pearl', 'nice food', 'island']",7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/58/29/c1/pearl-beach-lounge.jpg?w=900&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/78/71/4f/photo5jpg.jpg?w=900&h=500&s=1,
5,Mama Pizza,4.8,"Jl. Pantai, Pemenang, West Nusa Tenggara 83352 Indonesia","Jl. Pantai, Pemenang, West Nusa Tenggara 83352 Indonesia",$,"['Italian', 'Pizza']","['Vegetarian friendly, Vegan optionsLunch, DinnerTakeout', 'Vegetarian friendly, Vegan options', 'Lunch, Dinner']","['pizza', 'tiramisu', 'salad', 'juice', 'watch the sunset', 'beach', 'island', 'indonesia', 'dough', 'sea', 'beanbags', 'brit']",11:30 AM - 10:30 PM,11:30 AM - 10:30 PM,11:30 AM - 10:30 PM,11:30 AM - 10:30 PM,11:30 AM - 10:30 PM,11:30 AM - 10:30 PM,11:30 AM - 10:30 PM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/f5/46/89/vegan-queen-pizza-and.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/65/23/e5/caption.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/a0/c8/ae/caption.jpg?w=900&h=500&s=1
6,Tiki Grove,4.9,"Indonesia's first genuine Tiki Bar. Nestled in a coconut grove 300 meters from the beach, Tiki Grove gives an authentic tropical experience. Hand crafted cocktails and Tropical Fusion cuisine. Chill out and relax under the palm trees.","Kelapa Road, Lombok, Pemenang, West Nusa Tenggara 83352 Indonesia",$$ - $$$,['Mexican'],"['Vegetarian friendly, Vegan options, Gluten free options', 'Digital Payments, Accepts credit cards: Mastercard, Visa', 'Dinner, Late Night, Drinks']","['tacos', 'chicken', 'fries', 'homemade hot sauce', 'shark bites', 'gili t', 'amazing food', 'great atmosphere', 'the main strip', 'cool vibe', 'stir fry', 'great drinks', 'maui wowie', 'fresh ingredients', 'mexican food', 'tommy', 'island', 'catherine', 'bait', 'vibes']",3:00 PM - 10:30 PM,Closed,3:00 PM - 10:30 PM,3:00 PM - 10:30 PM,3:00 PM - 10:30 PM,3:00 PM - 10:30 PM,3:00 PM - 10:30 PM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/ac/6a/6c/getlstd-property-photo.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/30/fb/62/caption.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/f8/ab/75/photo0jpg.jpg?w=900&h=500&s=1
7,IJO Restaurant Gili Trawangan,4.9,"Dusun Gili Trawangan, Gili Indah, Kec. Pemenang Kabupaten Lombok Utara, Nusa Tenggara Bar. 83352, Pemenang, West Nusa Tenggara 83352 Indonesia","Dusun Gili Trawangan, Gili Indah, Kec. Pemenang Kabupaten Lombok Utara, Nusa Tenggara Bar. 83352, Pemenang, West Nusa Tenggara 83352 Indonesia",$$$$,['Seafood'],"['Vegetarian friendly, Vegan options', 'Digital Payments, Accepts credit cards: American Express, Mastercard, Visa', 'Lunch, Dinner']","['lobster', 'pizza', 'pumpkin curry', 'beef', 'prawns', 'gili t', 'our waiter', 'amazing food', 'pondok santi estate', 'fine dining', 'beach restaurant', 'amazing dinner', 'cooked perfectly', 'dining experience', 'great restaurant', 'island', 'atmosphere', 'hari', 'dish', 'sides']",Closed,6:00 PM - 11:00 PM,6:00 PM - 11:00 PM,6:00 PM - 11:00 PM,6:00 PM - 11:00 PM,6:00 PM - 11:00 PM,Closed,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/27/52/1d/caption.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/e5/dc/ec/caption.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/22/11/90/caption.jpg?w=900&h=-1&s=1
8,Ko Ko Mo Restaurant,4.4,"Elegant restaurant set on the beach with stunning views to Lombok. An innovative mix of Asian, French and Italian inspired fusion dishes, focusing on fresh seafood, quality imported meats and homemade pastas, breads, desserts and pastries","Kabupaten Lombok Utara, Nusa Tenggara, Pemenang, West Nusa Tenggara 83352 Indonesia",$$$$,"['Seafood', 'Mediterranean']","['Vegetarian friendly, Vegan options, Gluten free options', 'Accepts credit cards: American Express, Mastercard, Visa', 'Lunch, Brunch, Drinks']","['tuna', 'salad', 'gili t', 'my boyfriend', 'during our stay', 'birthday dinner', 'beach', 'kokomo', 'bali', 'ocean']",7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/dd/e9/c1/a-large-selection-of.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/33/db/ae/photo1jpg.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/dd/e9/d8/a-large-selection-of.jpg?w=900&h=500&s=1
9,Bagno Di Gili Exclusive Beach Club,5.0,"Exclusive Gili Beach Gazebos & OFYR® Restaurant by The Lombok Lodge Hospitality. Relaxing at ‘Bagno Di Gili’ means a Living Experience; Luxury Gazebos, warm Hospitality Service, elegant Sitting Areas, delicious Food on the Grill, Palm Trees and idyllic tropical Landscape’s Colours. ‘Bagno Di Gili’ is located at Turtle Point, the most Perfect Reef for Snorkeling on The Gili Islands. Secure your space now online for an unforgettable beach day!","Gili Indah, Pemenang, West Nusa Tenggara 83352 Indonesia",$$$$,"['Italian', 'Seafood']","['Vegetarian friendly, Vegan optionsAccepts credit cards: VisaLunch', 'Vegetarian friendly, Vegan options']","['lombok lodge', 'lunch prepared', 'amazing team', 'sea turtles', 'beautiful place', 'day trip', 'excellent food', 'private villa', 'gili', 'beach', 'island', 'stay', 'crew', 'estate', 'kayaking', 'luxury', 'shower', 'band', 'ocean', 'camping']",10:00 AM - 6:00 PM,10:00 AM - 5:30 PM,10:00 AM - 5:30 PM,10:00 AM - 5:30 PM,10:00 AM - 6:00 PM,10:00 AM - 5:30 PM,10:00 AM - 5:30 PM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/ff/b3/8b/caption.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/c7/60/c0/caption.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/03/65/b4/caption.jpg?w=900&h=500&s=1
