name,rating,about,cuisines,preferences,features,entitas_lokasi,entitas_jenis_makanan,entitas_menu,entitas_preferensi,entitas_features
Sendja@Kardiá,5.0,"Sendja (meaning twilight) @Kardia is an exquisitely crafted open-air restaurant and bar with 60 seating capacity by the beachside, offering you a beautiful sunset and Mount Agung view at Gili Trawangan. Serves a la carte breakfast, lunch and dinner daily in a relaxed, convivial atmosphere. Enjoy & entertain yourself with a sip of cocktails during the daily sunset happy hour.","['Bar', 'Barbecue', 'Asian', 'Contemporary', 'Healthy', 'Indonesian', 'Caucasian']","['gili t', 'fire show', 'delicious food', 'lunch and dinner', 'every night', 'our honeymoon', 'great stay', 'great hotel', 'stayed here for nights', 'place to stay', 'pool bar', 'beautiful sunset', 'sea view', 'enjoyed our stay', 'amazing place', 'perfect spot', 'moyo', 'island', 'resort']","['Accepts Credit Cards', 'Free Wifi', 'Full Bar', 'Outdoor Seating', 'Reservations', 'Seating', 'Serves Alcohol', 'Table Service']",Pemenang,"['Asian', 'Western']",['Barbecue'],"['gili t', 'fire show', 'delicious food', 'lunch and dinner', 'every night', 'our honeymoon', 'great stay', 'great hotel', 'stayed here for nights', 'place to stay', 'pool bar', 'beautiful sunset', 'sea view', 'enjoyed our stay', 'amazing place', 'perfect spot', 'moyo', 'island', 'resort']","['Accepts Credit Cards', 'Free Wifi', 'Full Bar', 'Outdoor Seating', 'Reservations', 'Seating', 'Serves Alcohol', 'Table Service']"
Tiki Grove,5.0,"Indonesia's first genuine Tiki Bar. Nestled in a coconut grove 300 meters from the beach, Tiki Grove gives an authentic tropical experience. Hand crafted cocktails and Tropical Fusion cuisine. Chill out and relax under the palm trees.","['Mexican', 'Southwestern', 'Polynesian', 'Hawaiian']","['tacos', 'chicken', 'fries', 'shark bites', 'gili t', 'amazing food', 'great atmosphere', 'hot sauce', 'amazing place', 'the main strip', 'every night', 'cool vibe', 'stir fry', 'great drinks', 'fresh ingredients', 'during our stay', 'mexican food', 'signature cocktails', 'mai tai']","['Accepts Credit Cards', 'Digital Payments', 'Free Wifi', 'Full Bar', 'Mastercard', 'Outdoor Seating', 'Parking Available', 'Reservations', 'Seating', 'Serves Alcohol', 'Street Parking', 'Table Service', 'Takeout', 'Visa', 'Wheelchair Accessible', 'Wine and Beer']",Lombok,['Other'],[],"['tacos', 'chicken', 'fries', 'shark bites', 'gili t', 'amazing food', 'great atmosphere', 'hot sauce', 'amazing place', 'the main strip', 'every night', 'cool vibe', 'stir fry', 'great drinks', 'fresh ingredients', 'during our stay', 'mexican food', 'signature cocktails', 'mai tai']","['Accepts Credit Cards', 'Digital Payments', 'Free Wifi', 'Full Bar', 'Mastercard', 'Outdoor Seating', 'Parking Available', 'Reservations', 'Seating', 'Serves Alcohol', 'Street Parking', 'Table Service', 'Takeout', 'Visa', 'Wheelchair Accessible', 'Wine and Beer']"
Italy Pizzeria & Restaurant. Gili Air,5.0,Indulge in the authentic taste of Italy with our mouthwatering dishes made following our traditions.,"['Italian', 'Pizza', 'Mediterranean', 'European', 'Romana', 'Lazio', 'Central-Italian']","['pasta', 'tiramisu', 'focaccia', 'hawaiian pizza', 'cakes', 'best pizza', 'italian food', 'amazing food', 'beautiful restaurant', 'great atmosphere', 'during our stay', 'dinner spot', 'small island', 'indonesia', 'vibe', 'harbour', 'gili', 'generator', 'parmigiana', 'power']","['Full Bar', 'Mastercard', 'Reservations', 'Seating', 'Serves Alcohol', 'Table Service', 'Takeout', 'Visa']",Pemenang,['Western'],['Pizza'],"['pasta', 'tiramisu', 'focaccia', 'hawaiian pizza', 'cakes', 'best pizza', 'italian food', 'amazing food', 'beautiful restaurant', 'great atmosphere', 'during our stay', 'dinner spot', 'small island', 'indonesia', 'vibe', 'harbour', 'gili', 'generator', 'parmigiana', 'power']","['Full Bar', 'Mastercard', 'Reservations', 'Seating', 'Serves Alcohol', 'Table Service', 'Takeout', 'Visa']"
Aura Bowls,5.0,"A family restaurant serving local, healthy, fresh meals and healthy mixed fruit bowls. Many delicious smoothies Made to order as well all served with a smile.","['Asian', 'Healthy', 'Indonesian', 'Central Asian']","['curry', 'mango', 'rice', 'nasi goreng', 'eggplant', 'local food', 'fresh juice', 'island', 'bali']","['Outdoor Seating', 'Seating', 'Table Service', 'Takeout', 'Wheelchair Accessible']",Pemenang,['Asian'],[],"['curry', 'mango', 'rice', 'nasi goreng', 'eggplant', 'local food', 'fresh juice', 'island', 'bali']","['Outdoor Seating', 'Seating', 'Table Service', 'Takeout', 'Wheelchair Accessible']"
Francesco's Pizza,5.0,"Our restaurant is located in a small street opposite the harbour. Here you'll find the true Italian essence with traditional homemade pizzas, piadinas, lasagnas and pasta. We love our job and we use only genuine high quality products.","['Italian', 'Pizza']","['pizza', 'salad', 'tiramisu', 'calamari', 'gili t', 'italian food', 'amazing food', 'italian owner', 'sat upstairs', 'the main road', 'quick service', 'during our stay', 'island', 'crust', 'indonesia', 'toppings', 'yummy', 'vegan', 'margarita']","['Delivery', 'Reservations', 'Seating', 'Serves Alcohol', 'Table Service', 'Takeout']",Pemenang,['Western'],['Pizza'],"['pizza', 'salad', 'tiramisu', 'calamari', 'gili t', 'italian food', 'amazing food', 'italian owner', 'sat upstairs', 'the main road', 'quick service', 'during our stay', 'island', 'crust', 'indonesia', 'toppings', 'yummy', 'vegan', 'margarita']","['Delivery', 'Reservations', 'Seating', 'Serves Alcohol', 'Table Service', 'Takeout']"
The Hut Restaurant Kuta,5.0,Cafe Restaurant International Vegetarian Friendly Vegan Options Healthy Food Food Made Good Board Games,"['Cafe', 'International', 'Asian', 'Fusion', 'Healthy']","['chicken curry', 'salad', 'nasi goreng', 'delicious food', 'good vibes', 'lombok', 'pita', 'ginger']","['Delivery', 'Reservations', 'Seating', 'Serves Alcohol', 'Table Service', 'Takeout']",Kuta,"['Asian', 'Western']",[],"['chicken curry', 'salad', 'nasi goreng', 'delicious food', 'good vibes', 'lombok', 'pita', 'ginger']","['Delivery', 'Reservations', 'Seating', 'Serves Alcohol', 'Table Service', 'Takeout']"
Cantina Mexicana Kuta Lombok,5.0,"We are a lively Cantina with back yard vibes, you can come for a great night out with Baja inspired cocktails and some of the best Mexican food in Indonesia. The food is diverse and flavorful with inspiration from all over Mexico. The drinks are fresh, light and fruity and guests can also sip on some the best imported tequilas and mezcal in Lombok.","['Mexican', 'Bar', 'Street Food', 'Dining bars']","['tacos', 'chicken', 'tasty food', 'great music', 'super fun', 'super tasty', 'our short stay', 'cool vibe', 'margaritas', 'lombok', 'vibes', 'jackfruit', 'yum', 'bite']","['Accepts Credit Cards', 'Cash Only', 'Delivery', 'Family style', 'Free off-street parking', 'Free Wifi', 'Full Bar', 'Gift Cards Available', 'Highchairs Available', 'Live Music', 'Outdoor Seating', 'Parking Available', 'Reservations', 'Seating', 'Serves Alcohol', 'Sports bars', 'Street Parking', 'Table Service', 'Takeout', 'Wheelchair Accessible', 'Wine and Beer']",Kuta,['Other'],[],"['tacos', 'chicken', 'tasty food', 'great music', 'super fun', 'super tasty', 'our short stay', 'cool vibe', 'margaritas', 'lombok', 'vibes', 'jackfruit', 'yum', 'bite']","['Accepts Credit Cards', 'Cash Only', 'Delivery', 'Family style', 'Free off-street parking', 'Free Wifi', 'Full Bar', 'Gift Cards Available', 'Highchairs Available', 'Live Music', 'Outdoor Seating', 'Parking Available', 'Reservations', 'Seating', 'Serves Alcohol', 'Sports bars', 'Street Parking', 'Table Service', 'Takeout', 'Wheelchair Accessible', 'Wine and Beer']"
La Cabana Lombok,5.0,Full Bar,"['International', 'Mediterranean', 'Spanish', 'Healthy', 'Indonesian', 'Catalan']","['paella', 'good vibes', 'lombok', 'resto']","['Full Bar', 'Reservations', 'Seating', 'Serves Alcohol', 'Table Service']",Lombok,['Asian'],[],"['paella', 'good vibes', 'lombok', 'resto']","['Full Bar', 'Reservations', 'Seating', 'Serves Alcohol', 'Table Service']"
Musa Cookery,5.0,Outdoor Seating,['Healthy'],"['burger', 'amazing vegetarian food', 'fresh food', 'super friendly staff', 'island', 'vibe', 'coconut']","['Outdoor Seating', 'Seating', 'Serves Alcohol', 'Table Service', 'Takeout']",Pemenang,['Other'],[],"['burger', 'amazing vegetarian food', 'fresh food', 'super friendly staff', 'island', 'vibe', 'coconut']","['Outdoor Seating', 'Seating', 'Serves Alcohol', 'Table Service', 'Takeout']"
KRNK Restaurant & Bar,4.5,"KRNK Kuta Lombok is a restaurant bar that specialises in burgers, Pizza, cocktails and art. Inspired by south Lombok lifestyle and years of travel, the menu is cooked using the highest quality local and imported ingredients. the design is all using recycled materials to create a hangout space for everyone looking for a unique experience. The vibe is laid back and the service is casual. KRNK offer the best food delivery service in town, always responding and quick delivery free of charge.","['Bar', 'Pizza', 'International', 'Mediterranean', 'Grill']","['pizza', 'parmesan fries', 'beef', 'juice', 'dirty burger', 'lombok', 'cocktails', 'vibe', 'chill', 'bowl']","['Cash Only', 'Drive Thru', 'Family style', 'Free off-street parking', 'Free Wifi', 'Reservations', 'Seating', 'Street Parking', 'Table Service', 'Takeout', 'Wheelchair Accessible', 'Wine and Beer']",Kuta,['Western'],"['Pizza', 'Grill']","['pizza', 'parmesan fries', 'beef', 'juice', 'dirty burger', 'lombok', 'cocktails', 'vibe', 'chill', 'bowl']","['Cash Only', 'Drive Thru', 'Family style', 'Free off-street parking', 'Free Wifi', 'Reservations', 'Seating', 'Street Parking', 'Table Service', 'Takeout', 'Wheelchair Accessible', 'Wine and Beer']"
